CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,COMPANY_SUB_CATEGORY,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,INDUSTRIAL_CLASS,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,REGISTERED_OFFICE_ADDRESS,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,LATEST_YEAR_ANNUAL_RETURN,LATEST_YEAR_FINANCIAL_STATEMENT
F01450,NIKO RESOURCES LIMITED   ,ACTV,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F01518,WORLDWIDE RESOURCES HOLDINGS LTD   ,ACTV,,,,16-07-1998,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,,,
F01573,ATWOOD OCEANIC PACIFIC LIMITED   ,ACTV,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F01802,SOLVAY S A BELGIUM   ,NAEF,,,,25-06-2001,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F01818,TATE AND LYLE INDUSTRIES LTD   ,ACTV,,,,25-07-2001,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,,,
F01847,OVERSEAS TRADING AND SHIPPING CO LTD   ,ACTV,,,,08-10-2001,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F01881,BALLAST NADAM INTERNATIONAL B V   ,ACTV,,,,31-12-2001,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,,,
F01958,OIL AND GAS EXPLORATION COMPANY CRACOW LTD  ,ACTV,,,,04-06-2002,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,,,
F02039,PRECISION DRILLING CYPRUS LIMITED   ,ACTV,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,,,
F02068,GNRL OIL & GAS LIMITED   ,ACTV,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F02090,OIL AND GAS DRILLING COMPANY NAFTA LIMITED  ,NAEF,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F02149,MAJUKA ENTERPRISES PTE LIMITED   ,ACTV,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,,,
F02164,JSC NIJHPHARM   ,ACTV,,,,03-06-2003,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,,,
F02170,DALMA ENERGY LLC   ,ACTV,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F02269,ASENCE INC   ,ACTV,,,,19-01-2004,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F02289,DURAVIT A G   ,NAEF,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F02389,QUAD TECH INC   ,ACTV,,,,,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F02715,OILEX LTD   ,ACTV,,,,12-05-2006,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F02833,NORDSON XALOY ASIA (THAILAND) LIMITED   ,ACTV,,,,04-10-2006,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
F02890,NUOVO PIGNONE S.P.A.   ,NAEF,,,,22-12-2006,Gujarat,0.0,0.0,,Agriculture & allied,REDACTED,ROCÂ DELHI,REDACTED,,
